,__kappa,__alpha,__beta,__gamma,Accuracy_CLASSIC_AVG,Accuracy_CLASSIC_STD,Accuracy_AE_AVG,Accuracy_AE_STD,Accuracy_DAE_AVG,Accuracy_DAE_STD,Accuracy_VAE_AVG,Accuracy_VAE_STD,Gap_CLASSIC_AVG,Gap_CLASSIC_STD,Gap_AE_AVG,Gap_AE_STD,Gap_DAE_AVG,Gap_DAE_STD,Gap_VAE_AVG,Gap_VAE_STD
0,5,0.05,2,0.0,0.55,0.06,0.66,0.16,0.71,0.05,0.9,0.01,1.3,0.67,1.3,1.06,0.8,0.42,0.0,0.0
1,5,0.05,2,0.1,0.55,0.09,0.66,0.16,0.71,0.08,0.89,0.01,1.3,0.82,1.2,1.03,0.8,0.63,0.0,0.0
2,5,0.05,2,0.25,0.56,0.07,0.68,0.16,0.72,0.04,0.89,0.03,1.3,0.67,1.1,1.1,0.8,0.42,0.1,0.32
3,5,0.05,5,0.0,0.38,0.06,0.59,0.16,0.61,0.18,0.85,0.03,2.7,0.48,1.6,1.07,1.3,1.16,0.5,0.53
4,5,0.05,5,0.1,0.37,0.04,0.68,0.14,0.57,0.18,0.86,0.03,2.9,0.32,1.1,0.88,1.6,1.26,0.3,0.48
5,5,0.05,5,0.25,0.43,0.06,0.59,0.19,0.63,0.15,0.85,0.01,2.4,0.52,1.9,0.88,1.4,0.97,0.6,0.52
6,5,0.1,2,0.0,0.51,0.07,0.69,0.13,0.7,0.07,0.88,0.01,1.7,0.67,1.1,0.88,0.6,0.7,0.3,0.48
7,5,0.1,2,0.1,0.52,0.07,0.63,0.16,0.7,0.08,0.89,0.01,1.6,0.7,1.2,1.14,0.8,0.63,0.0,0.0
8,5,0.1,2,0.25,0.54,0.09,0.68,0.16,0.7,0.12,0.88,0.01,1.4,0.7,1.2,1.14,1.3,0.67,0.6,0.52
9,5,0.1,5,0.0,0.39,0.07,0.57,0.16,0.64,0.15,0.82,0.02,2.7,0.48,1.8,1.14,1.3,1.06,1.1,0.32
10,5,0.1,5,0.1,0.36,0.05,0.6,0.18,0.69,0.13,0.83,0.01,2.9,0.32,2.1,1.45,1.1,0.74,1.0,0.0
11,5,0.1,5,0.25,0.45,0.09,0.64,0.17,0.63,0.17,0.84,0.02,2.4,0.7,1.8,0.79,1.3,1.06,1.1,0.32
12,10,0.05,2,0.0,0.5,0.06,0.61,0.18,0.62,0.15,0.87,0.04,3.1,0.99,3.1,2.18,2.3,2.16,1.0,0.0
13,10,0.05,2,0.1,0.54,0.06,0.62,0.22,0.66,0.14,0.88,0.02,2.5,1.08,2.5,2.99,1.8,1.93,1.0,0.0
14,10,0.05,2,0.25,0.53,0.14,0.61,0.22,0.38,0.23,0.86,0.02,2.3,2.26,2.3,3.02,5.3,3.2,1.1,0.57
15,10,0.05,5,0.0,0.22,0.05,0.45,0.24,0.7,0.04,0.82,0.04,7.5,0.71,4.9,3.07,1.0,0.47,1.0,0.0
16,10,0.05,5,0.1,0.23,0.07,0.39,0.21,0.52,0.23,0.83,0.02,7.2,1.14,5.3,2.91,3.0,3.33,0.9,0.32
17,10,0.05,5,0.25,0.22,0.04,0.31,0.2,0.42,0.23,0.83,0.02,7.7,0.48,6.7,2.41,4.5,3.54,0.9,0.32
18,10,0.1,2,0.0,0.46,0.08,0.58,0.19,0.66,0.04,0.86,0.03,3.6,1.35,3.6,2.46,1.9,0.88,1.0,0.0
19,10,0.1,2,0.1,0.5,0.05,0.58,0.17,0.61,0.17,0.86,0.02,2.8,0.79,2.8,2.44,1.8,2.49,1.0,0.0
20,10,0.1,2,0.25,0.51,0.11,0.53,0.22,0.44,0.22,0.86,0.02,2.7,1.95,3.5,2.99,4.4,3.27,1.3,0.48
21,10,0.1,5,0.0,0.2,0.02,0.32,0.19,0.53,0.19,0.82,0.02,7.9,0.32,6.4,2.67,3.3,2.71,0.7,0.48
22,10,0.1,5,0.1,0.21,0.03,0.32,0.18,0.49,0.24,0.82,0.02,7.7,0.48,6.2,2.74,4.5,2.76,0.8,0.42
23,10,0.1,5,0.25,0.24,0.06,0.33,0.17,0.5,0.2,0.8,0.04,7.3,0.82,6.3,2.54,3.6,2.88,1.3,1.25
